No	TMNo	EnNo	Name	INOUT	Mode	DateTime
9527	1	420		1	0	2018/05/12 11:04:51
9528	1	420		0	0	2018/05/12 11:08:49
9529	1	420		1	0	2018/05/12 11:09:20
9530	1	449		1	0	2018/05/12 11:10:14
9531	1	449		0	0	2018/05/12 11:10:38
9532	1	449		1	0	2018/05/12 11:10:53
9533	1	455		1	0	2018/05/12 11:10:55
9534	1	387		1	0	2018/05/12 11:11:51
9535	1	387		0	0	2018/05/12 11:15:31
9536	1	455		0	0	2018/05/12 11:15:37
9537	1	449		0	0	2018/05/12 11:15:41
9538	1	376		0	0	2018/05/12 11:22:08
9539	1	449		1	0	2018/05/12 11:24:40
